0,1,2
1,IF3,1
1,IF4,1
1,IS4,1
1,IS5,1
2,IF3,1
2,IF4,1
2,IS4,1
2,IS5,1
3,IF3,1
3,IF4,1
3,IS4,1
3,IS5,1
4,IF3,1
4,IF4,1
4,IS4,1
4,IS5,1
5,IF3,1
5,IF4,1
5,IS4,1
5,IS5,1
6,IF3,1
6,IF4,1
6,IS4,1
6,IS5,1
7,IF3,1
7,IF4,1
7,IS4,1
7,IS5,1
8,IF3,1
8,IF4,1
8,IS4,1
8,IS5,1
9,IF3,1
9,IF4,1
9,IS4,1
9,IS5,1
10,IF3,1
10,IF4,1
10,IS4,1
10,IS5,1
